dictForm,secondary,hasCard
"内部","ないぶ",1
"隅","すみ",0
"逃がす","にがす",1
"生える","はえる",1
"物凄い","ものすごい",1
"何もかも","なにもかも",1
"代表","だいひょう",1
"悟る","さとる",1
"単に","たんに",1
"導く","みちびく",1
"とっくに","とっくに",1
"容赦","ようしゃ",1
"あっと言う間に","あっというまに",1
"意図","いと",1
"捉える","とらえる",1
"余程","よほど",1
"異なる","ことなる",1
"鳴らす","ならす",1
"反省","はんせい",1
"移す","うつす",1
"所為","しょい",1
"がち","がち",1
"勝ち","かち",1
"接する","せっする",1
"どうにも","どうにも",1
"周辺","しゅうへん",1
"伏せる","ふせる",1
"逃れる","のがれる",1
"誓う","ちかう",1
"重なる","かさなる",1
"内側","うちがわ",1
"強力","きょうりょく",1
"互いに","たがいに",1
"同意","どうい",1
"居場所","いばしょ",1
"盛り上がる","もりあがる",1
"都合","つごう",1
"処理","しょり",1
"絡む","からむ",1
"接触","せっしょく",1
"世間","せけん",1
"実感","じっかん",1
"加わる","くわわる",1
"基本","きほん",1
"縛る","しばる",1
"一斉","いっせい",1
"掲げる","かかげる",1
"詰まる","つまる",1
"さっぱり","さっぱり",1
"常識","じょうしき",1
"負う","おう",1
"齎す","もたらす",1
"見逃す","みのがす",1
"権利","けんり",1
"いちいち","いちいち",1
"飾る","かざる",1
"通常","つうじょう",1
"狙い","ねらい",1
"力強い","ちからづよい",1
"連続","れんぞく",1
"放す","ほかす",1
"倍","ばい",1
"してやる","してやる",1
"乗り込む","のりこむ",1
"復活","ふっかつ",1
"こなす","こなす",1
"産む","うむ",1
"複数","ふくすう",1
"尊敬","そんけい",1
"惚れる","ほれる",1
"っ放し","っぱなし",1
"折角","せっかく",1
"玉ねぎ","たまねぎ",1
"長ねぎ","ながねぎ",1
"お仕置き","おしおき",1
"謙虚","けんきょ",1
"始発","しはつ",1
"どうやら","どうやら",1
"抱きしめる","だきしめる",1
"相違","そうい",1
"万が一","まんがいち",1
"具体","ぐたい",1
"混ぜる","まぜる",1
"悩み","なやみ",1
"両方","りょうほう",1
"已","",1
"三つ子","みつご",1
"っ子","っこ",1
"最大限","さいだいげん",1
"弛む","たるむ",1
"凡そ","およそ",1
"規則","きそく",1
"下らない","くだらない",1
"素っ気","そっけ",1
"覗く","のぞく",1
"溜息","ためいき",1
"沿う","そう",1
"伴う","ともなう",1
"雨天","うてん",1
"つけ","つけ",1
"アヒル","あひる",1
"家鴨","あひる",1
"キモイ","",1
"うつむく","うつむく",1
"堪える","こたえる",1
"不意","ふい",1
"びく","びく",1
"ぽか","ぽか",1
"めくる","めくる",1
"アンチ","あんち",1
"おかしな","おかしな",1
"草原","そうげん",1
"睨みつける","にらみつける",1
"起毛","きもう",1
"こぼれる","こぼれる",1
"零れる","こぼれる",1
"溢れる","あふれる",1
"いじる","いじる",1
"弄る","いじくる",1
"晒す","さらす",1
"むっと","むっと",1
"瞬き","まばたき",1
"やたら","やたら",1
"すっと","すっと",1
"パシリ","ぱしり",1
"ファインダー","ふぁいんだー",1
"じわじわ","じわじわ",1
"いじめ","いじめ",1
"マスコミ","ますこみ",1
"ど","ど",1
"きり","きり",1
"ロケ","ろけ",1
"うっすら","うっすら",1
"薄","すすき",1
"さりげ","さりげ",1
"さり気","さりげ",1
"ウザイ","",1
"シーエム","しーえむ",1
"しがみつく","しがみつく",1
"誤魔化す","ごまかす",1
"もしや","もしや",1
"ぼうっと","ぼうっと",1
"恐る恐る","おそるおそる",1
"ぼっち","ぼっち",1
"グラビア","ぐらびあ",1
"呆れる","あきれる",1
"ぼそぼそ","ぼそぼそ",1
"ちらり","ちらり",1
"ニヤニヤ","にやにや",1
"滲む","にじむ",1
"だらだら","だらだら",1
"じ","じ",1
"こする","こする",1
"擦る","こする",1
"うっとり","うっとり",1
"ムカ","",1
"膨らむ","ふくらむ",1
"ぎゅっと","ぎゅっと",1
"兼ねる","かねる",1
"拘る","かかわる",1
"はっと","はっと",1
"たかが","たかが",1
"項垂れる","うなだれる",1
"やんわり","やんわり",1
"タレント","たれんと",1
"チノパン","ちのぱん",1
"微か","かすか",1
"ネタ","ねた",1
"ぽつり","ぽつり",1
"ねだる","ねだる",1
"睨む","にらむ",1
"ざわつく","ざわつく",1
"とことん","とことん",1
"ちらっと","ちらっと",1
"ぼる","ぼる",1
"そり","そり",1
"嗤","",1
"しんと","しんと",1
"惨め","みじめ",1
"こもる","こもる",1
"マシ","",1
"いやらしい","いやらしい",1
"うんざり","うんざり",1
"躊躇う","ためらう",1
"おずおず","おずおず",1
"みるみる","みるみる",1
"ぶつぶつ","ぶつぶつ",1
"じりじり","じりじり",1
"ビクビク","びくびく",1
"ほぐす","ほぐす",1
"緩い","ゆるい",1
"のろのろ","のろのろ",1
"ファミレス","ふぁみれす",1
"ほどける","ほどける",1
"くっつく","くっつく",1
"はまる","はまる",1
"揃える","そろえる",1
"だるい","だるい",1
"ぎょっと","ぎょっと",1
"ぐちゃぐちゃ","ぐちゃぐちゃ",1
"うなじ","うなじ",1
"よじる","よじる",1
"ほとほと","ほとほと",1
"握りしめる","にぎりしめる",1
"イナゴ","いなご",1
"もしくは","もしくは",1
"はしゃぐ","はしゃぐ",1
"攫う","さらう",1
"ぱっと","ぱっと",1
"限り","かぎり",1
"大黒柱","だいこくばしら",1
"まみれる","まみれる",1
"塗れる","まみれる",1
"にこにこ","にこにこ",1
"お喋り","おしゃべり",1
"よろめく","よろめく",1
"狼狽える","うろたえる",1
"キレる","きれる",1
"ぐずぐず","ぐずぐず",1
"愚図","ぐず",1
"おまけ","おまけ",1
"ぶるぶる","ぶるぶる",1
"またもや","またもや",1
"凹む","へこむ",1
"躓く","つまずく",1
"くり","くり",1
"ラグ","らぐ",1
"うっかりミス","うっかりみす",1
"繋ぐ","つなぐ",1
"こだわる","こだわる",1
"それどころか","それどころか",1
"呆気ない","あっけない",1
"あっと","あっと",1
"天辺","てっぺん",1
"凭れる","もたれる",1
"抉る","えぐる",1
"緩む","ゆるむ",1
"付き","つき",1
"何とも","なんとも",1
"ギャラ","ぎゃら",1
"苛立つ","いらだつ",1
"どおり","どおり",1
"もしもし","もしもし",1
"にっこり","にっこり",1
"きょとん","きょとん",1
"咄嗟","とっさ",1
"ずれる","ずれる",1
"もどかしい","もどかしい",1
"啜る","すする",1
"かじる","かじる",1
"齧る","かじる",1
"囓","",1
"くっきり","くっきり",1
"弁える","わきまえる",1
"ずるずる","ずるずる",1
"もやもや","もやもや",1
"パンパン","ぱんぱん",1
"はたく","はたく",1
"じろり","じろり",1
"ひる","ひる",1
"大概","たいがい",1
"ゴリゴリ","ごりごり",1
"ぐんと","ぐんと",1
"セレブ","せれぶ",1
"何事","なにごと",1
"ぐうっと","",1
"惚気","のろけ",1
"いやあ","いやあ",1
"めく","めく",1
"如き","ごとき",1
"じみる","じみる",1
"纏う","まとう",1
"さっと","さっと",1
"ぎこちない","ぎこちない",1
"あらかじめ","あらかじめ",1
"予め","あらかじめ",1
"ぐったり","ぐったり",1
"ゆったり","ゆったり",1
"ささやか","ささやか",1
"にこやか","にこやか",1
"ビビる","びびる",1
"こめかみ","こめかみ",1
"くっつける","くっつける",1
