dictForm,secondary,hasCard
"","",0
"高い","たかい",0
"赤い","あかい",0
"上司","じょうし",0
"話す","はなす",0
"飲む","のむ",0
"泳ぐ","およぐ",0
"熱","ねつ",1
"いま","いま",0
"別れ","わかれ",0
"キス","きす",0
"交わす","かわす",0
"一","いち",0
"度","ど",0
"今度","こんど",0
"こと","こと",0
"ママ","まま",0
"報告","ほうこく",0
"寂しい","さみしい",0
"いなむ","いなむ",0
"星野光","せいやこう",0
"です","です",0
"走り","はしり",0
"あいつ","あいつ",0
"ら","ら",1
"何者","なにもの",0
"様","さま",0
"ギャラクシア","",0
"喜び","よろこび",0
"ま","ま",0
"もつ","もつ",1
"今頃","いまごろ",0
"夕","ゆう",0
"ご飯","ごはん",0
"くれる","くれる",0
"怒る","いかる",0
"ぞ","ぞ",1
"カップ","かっぷ",0
"かしら","かしら",0
"セーラーソルジャーズ","",0
"宇宙","うちゅう",0
"星","ぼし",0
"感じる","かんじる",0
"遊ぶ","あそぶ",0
"買う","かう",0
"食べる","たべる",0
"教える","おしえる",0
"行く","いく",0
"売る","うる",0
"美味しい","おいしい",0
"ただいま","ただいま",0
"うん","うん",0
"のち","のち",0
"びちびちゃん","",0
"忘れる","わすれる",0
"てこ","てこ",0
"人目","ひとめ",0
"そぐ","そぐ",0
"ちびちび","ちびちび",0
"っていう","っていう",0
"寝る","ねる",0
"匂い","におい",0
"香","こう",0
"くる","くる",0
"カード","かーど",0
"住所","じゅうしょ",0
"詩","し",1
"暗唱","あんしょう",0
"コンピューター","こんぴゅーたー",0
"月野","つきの",0
"よろしく","よろしく",0
"へっ","へっ",0
"たくす","たくす",0
"字","じ",0
"やっぱり","やっぱり",0
"クラス","くらす",0
"男子","だんし",0
"どこ","どこ",0
"いぬ","いぬ",0
"痛い","いたい",0
"割れる","われる",0
"頭痛","ずつう",0
"だけ","だけ",1
"話","はなし",0
"まもる","まもる",0
"急","きゅう",0
"下品","げひん",1
"似合う","にあう",0
"見つける","みつける",0
"くださる","くださる",0
"面白い","おもしろい",0
"家","いえ",0
"店","みせ",0
"図書館","としょかん",0
"駅","えき",0
"町","まち",0
"国","くに",0
"やばい","やばい",0
"僕","ぼく",0
"まで","まで",0
"騒ぐ","さわぐ",0
"星野","ほしの",0
"君","くん",0
"歌う","うたう",0
"まとめる","まとめる",0
"始末","しまつ",0
"誇り","ほこり",0
"輝く","かがやく",0
"セーラー","せーらー",0
"クリスタル","くりすたる",0
"あんた","あんた",0
"たち","たち",0
"肉体","にくたい",0
"ほど","ほど",0
"体","からだ",0
"監視","かんし",0
"レゴシ","",0
"時","とき",0
"小さな","ちいさな",0
"ウサギ","うさぎ",0
"本能","ほんのう",0
"荒い","あらい",0
"ドア","どあ",0
"いつも","いつも",0
"受ける","うける",0
"だろ","だろ",1
"お前","おまえ",0
"獣","しし",0
"にとって","にとって",0
"天国","てんごく",0
"小学校","しょうがっこう",0
"そこ","そこ",0
"中学校","ちゅうがっこう",0
"議員","ぎいん",0
"あそこ","あそこ",0
"宝","たから",0
"踊る","おどる",0
"日本","にっぽん",0
"あの","あの",0
"小学生","しょうがくせい",0
"鳥","とり",0
"韓国","かんこく",0
"中国","ちゅうごく",0
"へ","へ",0
"演劇","えんげき",0
"テム","",0
"だって","だって",0
"きっと","きっと",0
"獣","じゅう",0
"犯人","はんにん",0
"うまい","うまい",0
"部活","ぶかつ",0
"エルス","えるす",0
"ハア","はあ",0
"なくなる","なくなる",0
"本番","ほんばん",0
"後","ご",0
"芝居","しばい",0
"ルイ","るい",0
"リーダー","りーだー",0
"今","こん",0
"朝方","あさがた",0
"関わり","かかわり",0
"見る","みる",0
"目","め",0
"原猿","げんえん",0
"類","るい",0
"おやすみなさい","おやすみなさい",0
"ふだん","ふだん",0
"フリ","ふり",0
"おなか","おなか",0
"賢い","かしこい",0
"街","まち",0
"日本語","にほんご",0
"語","ご",0
"登る","のぼる",0
"返す","かえす",0
"貸す","かす",0
"アメリカ人","あめりかじん",0
"酒","さけ",0
"盗む","ぬすむ",0
"海","うみ",0
"川","かわ",0
"選ぶ","えらぶ",0
"洗う","あらう",0
"連絡","れんらく",0
"君","きみ",0
"希望","きぼう",0
"秘密","ひみつ",0
"着る","きる",0
"日本人","にっぽんじん",0
"中国人","ちゅうごくじん",0
"宿題","しゅくだい",0
"屋根","やね",0
"机","つくえ",0
"野菜","やさい",0
"水","みず",0
"イギリス","いぎりす",0
"金","きむ",1
"魚","さかな",0
"商品","しょうひん",0
"鏡","かがみ",0
"安い","やすい",0
"天才","てんさい",0
"社長","しゃちょう",0
"アホ","あほ",0
"とても","とても",0
"達","いたる",0
"会社","かいしゃ",0
"大きな","おおきな",0
"家族","かぞく",0
"派手","はで",1
"上品","じょうひん",0
"静か","しずか",0
"楽","らく",0
"真面目","まじめ",0
"綺麗","きれい",0
"いいえ","いいえ",0
"運動","うんどう",0
"レストラン","れすとらん",0
"はい","はい",0
"ケガ","けが",1
"外","そと",0
"用意","ようい",0
"旅行","りょこう",0
"今週","こんしゅう",0
"早い","はやい",0
"小説","しょうせつ",0
"変","へん",0
"結構","けっこう",0
"一応","いちおう",0
"かなり","かなり",0
"さ","さ",0
"辛い","つらい",0
"臭い","くさい",0
"客","きゃく",0
"それに","それに",0
"増える","ふえる",0
"思い出す","おもいだす",0
"感じ","かんじ",0
"近く","ちかく",0
"深い","ふかい",0
"かかる","かかる",0
"ツアー","つあー",0
"それなら","それなら",0
"高級","こうきゅう",0
"校長","こうちょう",0
"任せる","まかせる",0
"娘","むすめ",0
"息子","むすこ",0
"服","ふく",0
"ゲーム","げーむ",0
"涼しい","すずしい",0
"作業","さぎょう",0
"絵本","えほん",0
"より","より",1
"ビール","びーる",0
"大きい","おおきい",0
"方","ほう",0
"立派","りっぱ",0
"ワイン","わいん",0
"母","はは",0
"借りる","かりる",0
"足","あし",0
"毛","もう",0
"一番","いちばん",0
"うるさい","うるさい",0
"走る","はしる",0
"傑作","けっさく",0
"正体","しょうたい",0
"事","こと",0
"とっても","とっても",0
"人生","じんせい",0
"有名","ゆうめい",0
"嬉しい","うれしい",0
"化学","かがく",0
"疲れる","つかれる",0
"たくさん","たくさん",0
"駄目","だめ",0
"大学","だいがく",0
"いつ","いつ",0
"こっち","こっち",0
"危険","きけん",0
"そっち","そっち",0
"暑い","あつい",0
"あっち","あっち",0
"ケーキ","けーき",0
"雨","あめ",0
"決める","きめる",0
"電車","でんしゃ",0
"あまり","あまり",0
"時々","ときどき",0
"子","こ",0
"親分","おやぶん",0
"見失う","みうしなう",0
"ラブレター","らぶれたー",0
"物","もの",0
"じゃあ","じゃあ",0
"さっき","さっき",1
"悪口","わるぐち",0
"しまう","しまう",0
"バカ","ばか",0
"屋","や",0
"花","はな",0
"ピザ","ぴざ",0
"など","など",0
"ほとんど","ほとんど",0
"大した","たいした",0
"卵","たまご",0
"虫","むし",0
"寒い","さむい",0
"易しい","やさしい",0
"やる気","やるき",0
"アパート","あぱーと",0
"少ない","すくない",0
"種類","しゅるい",0
"多い","おおい",0
"女の子","おんなのこ",0
"満足","まんぞく",0
"おじ","おじ",0
"おば","おば",0
"恋人","こいびと",0
"近い","ちかい",0
"しか","しか",0
"毎回","まいかい",0
"感謝","かんしゃ",0
"我慢","がまん",1
"それとも","それとも",0
"退屈","たいくつ",0
"問題","もんだい",0
"コーヒー","こーひー",0
"オオカミ","おおかみ",0
"怖がる","こわがる",0
"生きる","いきる",1
"デート","でーと",0
"たまに","たまに",0
"小さい","ちいさい",0
"冷たい","つめたい",0
"運転","うんてん",0
"作る","つくる",0
"落ち着く","おちつく",0
"ケンカ","けんか",0
"告白","こくはく",0
"パン","ぱん",0
"つもり","つもり",0
"大分","おおいた",1
"結婚","けっこん",0
"バッグ","ばっぐ",0
"おら","おら",0
"ハート","はーと",0
"昔","むかし",0
"映画","えいが",0
"幽霊","ゆうれい",0
"嫌","いや",0
"科学","かがく",0
"行方","ゆくえ",0
"殺す","ころす",0
"ピアノ","ぴあの",0
"弾く","ひく",0
"内緒","ないしょ",0
"おかしい","おかしい",0
"脱ぐ","ぬぐ",0
"稼ぐ","かせぐ",0
"最高","さいこう",0
"渡す","わたす",0
"食う","くう",0
"使う","つかう",0
"昼","ひる",0
"建つ","たつ",0
"殴る","なぐる",0
"認める","みとめる",1
"遅れる","おくれる",0
"消える","きえる",0
"与える","あたえる",0
"ドラゴン","どらごん",0
"知らせ","しらせ",0
"リンゴ","りんご",0
"田舎","いなか",0
"落とす","おとす",0
"プール","ぷーる",0
"遊園地","ゆうえんち",0
"逃げる","にげる",0
"答え","こたえ",0
"気に入る","きにいる",0
"警察","けいさつ",0
"冷蔵庫","れいぞうこ",0
"今年","ことし",0
"忙しい","いそがしい",0
"オレンジ","おれんじ",0
"ジョーク","じょーく",0
"料理","りょうり",0
"テスト","てすと",0
"甘い","あまい",0
"失礼","しつれい",0
"失望","しつぼう",0
"上手","じょうず",0
"ガキ","がき",0
"オシャレ","おしゃれ",0
"あんまり","あんまり",0
"事故","じこ",0
"菓子","かし",0
"アイス","あいす",0
"刑事","けいじ",0
"夫婦","ふうふ",0
"インターネット","いんたーねっと",0
"船","ふね",0
"仕事","しごと",0
"背","せ",0
"恥ずかしい","はずかしい",0
"来週","らいしゅう",0
"別れる","わかれる",0
"最近","さいきん",0
"バス","ばす",0
"働く","はたらく",0
"お腹","おなか",0
"道","みち",0
"代わり","かわり",0
"病院","びょういん",0
"量","りょう",0
"得意","とくい",0
"まま","まま",0
"置く","おく",1
"血","ち",0
"裸","はだか",0
"たって","たって",0
"夜","よる",0
"人間","にんげん",0
"曲","きょく",0
"機嫌","きげん",1
"釣り","つり",0
"青い","あおい",0
"ジュース","じゅーす",0
"島","しま",0
"日","ひ",0
"遅刻","ちこく",0
"立つ","たつ",0
"悲しい","かなしい",0
"助ける","たすける",0
"笑顔","えがお",0
"財布","さいふ",0
"評判","ひょうばん",0
"休憩","きゅうけい",0
"買い物","かいもの",0
"おとなしい","おとなしい",0
"面倒","めんどう",0
"安全","あんぜん",0
"病気","びょうき",0
"乗る","のる",0
"食事","しょくじ",0
"勝手","かって",1
"そんな","そんな",0
"入院","にゅういん",0
"村","むら",0
"女優","じょゆう",0
"症状","しょうじょう",0
"国語","こくご",0
"クレープ","くれーぷ",0
"八百屋","やおや",0
"宿","やど",0
"ペット","ぺっと",0
"困る","こまる",0
"堪る","たまる",0
"昨夜","さくや",0
"世","よ",0
"あげる","あげる",0
"パパ","ぱぱ",0
"指輪","ゆびわ",0
"クリスマス","くりすます",0
"テレビ","てれび",0
"分ける","わける",0
"運ぶ","はこぶ",0
"習う","ならう",0
"教わる","おそわる",0
"ペン","ぺん",0
"もらう","もらう",0
"神","かみ",0
"ドル","どる",0
"泥棒","どろぼう",0
"結果","けっか",0
"成果","せいか",0
"要る","いる",0
"高校","こうこう",0
"パーティー","ぱーてぃー",0
"建物","たてもの",0
"苦手","にがて",0
"味","あじ",0
"成績","せいせき",0
"幸せ","しあわせ",0
"最新","さいしん",0
"品","しな",0
"倒れる","たおれる",0
"スーパー","すーぱー",0
"らしい","らしい",0
"作家","さっか",0
"本当","ほんとう",0
"教師","きょうし",0
"たら","たら",0
"天気","てんき",0
"生","なま",0
"エロ本","えろほん",0
"ギター","ぎたー",0
"オープン","おーぷん",0
"もし","もし",0
"中止","ちゅうし",0
"尋ねる","たずねる",0
"沈む","しずむ",0
"退学","たいがく",0
"赤ん坊","あかんぼう",0
"サッカー","さっかー",0
"庭","にわ",0
"人気","にんき",0
"しつこい","しつこい",0
"自信","じしん",0
"たり","たり",0
"大勢","たいせい",0
"不味い","まずい",0
"態度","たいど",0
"厳しい","きびしい",0
"下手","へた",0
"あと","あと",0
"去る","さる",0
"登場","とうじょう",0
"感","かん",1
"好物","こうぶつ",0
"洋服","ようふく",0
"散歩","さんぽ",0
"済む","すむ",0
"前","まえ",0
"外科","げか",0
"若い","わかい",0
"太る","ふとる",0
"少し","すこし",0
"事件","じけん",0
"誕生日","たんじょうび",0
"つまらない","つまらない",0
"薬","くすり",0
"兄","あに",0
"姉","あね",0
"韓国人","かんこくじん",0
"戦場","せんじょう",0
"兄弟","きょうだい",0
"選手","せんしゅ",0
"世界","せかい",0
"コーチ","",0
"バイト","ばいと",0
"それから","それから",0
"風呂","ふろ",0
"辞める","やめる",0
"ビーチ","びーち",0
"ガン","がん",0
"驚く","おどろく",0
"慌てる","あわてる",0
"愛","あい",0
"修行","しゅぎょう",0
"課長","かちょう",0
"飼う","かう",0
"皆","みな",0
"望み","のぞみ",0
"食堂","しょくどう",0
"トイレ","といれ",0
"ボール","ぼーる",0
"幾ら","いくら",0
"故障","こしょう",0
"海岸","かいがん",0
"寝坊","ねぼう",0
"対決","たいけつ",1
"土産","みやげ",0
"寄る","よる",1
"嵐","あらし",0
"間","ま",1
"飴","あめ",0
"数える","かぞえる",0
"挨拶","あいさつ",0
"成長","せいちょう",0
"並ぶ","ならぶ",0
"住む","すむ",0
"小柄","こがら",0
"ハンサム","はんさむ",0
"形","かたち",1
"素敵","すてき",0
"頑張る","がんばる",0
"制限","せいげん",1
"暗い","くらい",0
"はず","はず",0
"酔う","よう",0
"親父","おやじ",0
"首","くび",0
"お袋","おふくろ",0
"農場","のうじょう",1
"花嫁","はなよめ",0
"ばかり","ばかり",0
"悪化","あっか",0
"着く","つく",0
"弟","おとうと",0
"心","こころ",0
"喋る","しゃべる",1
"行く","ゆく",0
"基地","きち",1
"大事","だいじ",0
"医者","いしゃ",0
"意見","いけん",0
"打つ","うつ",1
"患者","かんじゃ",1
"慣れる","なれる",0
"間違い","まちがい",0
"理由","りゆう",0
"幼い","おさない",1
"日記","にっき",0
"絵","え",0
"現場","げんば",0
"巡査","じゅんさ",0
"披露","ひろう",0
"届く","とどく",0
"ホテル","ほてる",0
"上","うえ",0
"通る","とおる",0
"飛ぶ","とぶ",0
"降りる","おりる",0
"午後","ごご",0
"分","ぶん",0
"こんな","こんな",0
"お願い","おねがい",0
"きれい","きれい",0
"頼む","たのむ",0
"暮らす","くらす",0
"悲しむ","かなしむ",0
"懐かしむ","なつかしむ",1
"悩む","なやむ",0
"として","として",0
"肉","にく",0
"付き合う","つきあう",1
"うち","うち",0
"教授","きょうじゅ",0
"ネクタイ","ねくたい",0
"汚い","きたない",0
"サービス","さーびす",0
"太陽","たいよう",0
"言葉","ことば",0
"意味","いみ",0
"チーズ","ちーず",0
"振る","ふる",0
"軍隊","ぐんたい",0
"社会","しゃかい",1
"降る","ふる",0
"飯","めし",1
"資料","しりょう",0
"アート","あーと",0
"でも","でも",0
"パソコン","ぱそこん",0
"腐る","くさる",1
"鍵","かぎ",0
"閉める","しめる",0
"約束","やくそく",0
"牛","うし",1
"教会","きょうかい",1
"長官","ちょうかん",0
"首相","しゅしょう",0
"興奮","こうふん",0
"広まる","ひろまる",1
"わが","わが",1
"整理","せいり",0
"合う","あう",0
"市長","しちょう",0
"遭う","あう",1
"掃除","そうじ",0
"牧場","ぼくじょう",1
"ツルツル","つるつる",1
"月曜日","げつようび",1
"火曜日","かようび",1
"水曜日","すいようび",1
"木曜日","もくようび",1
"金曜日","きんようび",1
"土曜日","どようび",1
"日曜日","にちようび",1
"全体","ぜんたい",0
"換える","かえる",1
"絶対","ぜったい",0
"冬","ふゆ",0
"二","に",0
"三","さん",0
"四","よん",0
"五","ご",0
"六","ろく",0
"七","なな",0
"八","はち",0
"九","きゅう",0
"十","じゅう",0
"四十","よと",1
"十二","じゅうに",1
"五十五","ごじゅうご",1
"九十九","つくも",1
"四月","しがつ",1
"七月","しちがつ",1
"十月","じゅうがつ",0
"十二月","じゅうにがつ",1
"半","はん",1
"合格","ごうかく",0
"ネトゲ","ねとげ",0
"うれしい","うれしい",0
"ごめんなさい","ごめんなさい",0
"零","れい",1
"秒","びょう",0
"卒業","そつぎょう",0
"歳","とし",0
"歳","さい",0
"さよなら","さよなら",1
"つ","つ",1
"野球","やきゅう",1
"遠い","とおい",0
"魔法","まほう",1
"山道","さんどう",1
"掛かる","かかる",1
"ラーメン","らーめん",0
"公園","こうえん",0
"回す","まわす",0
"葬式","そうしき",1
"不幸","ふこう",0
"カ月","かげつ",1
"経つ","たつ",0
"デブ","でぶ",1
"日","にち",0
"そろそろ","そろそろ",0
"大人","おとな",0
"円","えん",0
"箸","はし",0
"キロ","きろ",0
"キロメートル","",1
"メートル","めーとる",0
"センチ","せんち",1
"新聞","しんぶん",0
"キャベツ","きゃべつ",1
"予定","よてい",0
"書類","しょるい",0
"感染","かんせん",0
"貯める","ためる",0
"中心","ちゅうしん",0
"浮気","うわき",1
"弱る","よわる",0
"集める","あつめる",0
"段々","だんだん",0
"配達","はいたつ",1
"図鑑","ずかん",0
"線","せん",0
"禁止","きんし",0
"歩く","あるく",0
"提出","ていしゅつ",0
"曲がる","まがる",0
"カナダ","かなだ",0
"手が込む","てがこむ",0
"後","のち",0
"販売","はんばい",0
"未来","みらい",1
"何","なん",0
"何分","なにぶん",0
"不足","ふそく",0
"ドイツ","どいつ",1
"ロス","ろす",1
"陛下","へいか",0
"徒歩","とほ",1
"具合","ぐあい",0
"侵入","しんにゅう",0
"香水","こうすい",0
"自然","しぜん",0
"財宝","ざいほう",1
"札幌","さっぽろ",0
"死刑","しけい",0
"何処","どこ",0
"かしこ","かしこ",0
"サンタ","さんた",0
"進化","しんか",0
"体調","たいちょう",0
"空っぽ","からっぽ",0
"宗教","しゅうきょう",0
"警戒","けいかい",0
"場所","ばしょ",0
"ダンス","だんす",0
"始める","はじめる",0
"山田","やまだ",0
"すいません","すいません",0
"なん","なん",1
"よく","よく",0
"どうぞ","どうぞ",0
"そんなに","そんなに",0
"っ","っ",0
"ポニーテール","ぽにーてーる",0
"辞書","じしょ",0
"変態","へんたい",0
"閉店","へいてん",1
"広告","こうこく",1
"自由","じゆう",0
"傘","かさ",0
"独り言","ひとりごと",0
"穴","あな",0
"増す","ます",0
"マジ","まじ",0
"メモ","めも",0
"かわいい","かわいい",0
"チョコ","ちょこ",0
"色々","いろいろ",0
"帰国","きこく",0
"扇風機","せんぷうき",0
"兵士","へいし",0
"会長","かいちょう",0
"上がる","あがる",0
"大好き","だいすき",0
"ストップ","すとっぷ",0
"入る","いる",0
"心配","しんぱい",0
"ごめん","ごめん",0
"ありがと","ありがと",0
"やめる","やめる",0
"すら","すら",1
"番号","ばんごう",0
"ハンバーガー","はんばーがー",0
"できる","できる",0
"直す","なおす",0
"みたい","みたい",0
"ダメ","だめ",0
"生","せい",0
"まあ","まあ",0
"ご","ご",0
"あ","あ",0
"年賀状","ねんがじょう",0
"ぐらい","ぐらい",0
"プレゼント","ぷれぜんと",0
"洗濯","せんたく",0
"毎朝","まいあさ",0
"混む","こむ",0
"給料","きゅうりょう",0
"習慣","しゅうかん",0
"毎年","まいとし",0
"まさか","まさか",0
"ヤツ","",0
"そっ","そっ",0
"お金","おかね",0
"恋愛","れんあい",0
"茜","あかね",0
"ごろ","ごろ",0
"観光","かんこう",0
"手術","しゅじゅつ",0
"ごと","ごと",0
"眠い","ねむい",0
"空気","くうき",0
"仲良く","なかよく",0
"各","かく",0
"おきる","おきる",0
"介護","かいご",0
"火","ひ",0
"上げる","あげる",0
"引っ越す","ひっこす",0
"約","やく",0
"出す","だす",0
"たたく","たたく",0
"漫画","まんが",0
"注射","ちゅうしゃ",0
"学ぶ","まなぶ",0
"吐く","はく",0
"負ける","まける",0
"秋","あき",0
"雪","ゆき",0
"制服","せいふく",1
"切る","きる",0
"大量","たいりょう",0
"ジム","じむ",0
"泳ぎ","およぎ",0
