Reading,ReadingFurigana,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions
きゃつ,きゃつ,きゃつ,96,42611,0,"he,she,that guy"
はいはい,はいはい,はいはい,96,885,1,crawling (of a baby)
こいつら,こいつら,こいつら,96,1583,,"these guys,these fellows"
裁判,裁[さい]判[ばん],さいばん,96,5156,1,"trial,judgement,judgment"
玉,玉[たま],たま,96,3390,"0,1","ball,sphere,globe,orb,bead (of sweat, dew, etc.),drop,droplet,ball (in sports),pitch (e.g. in baseball),pile (of noodles, etc.),bullet,bulb (i.e. a light bulb),lens (of glasses, etc.),bead (of an abacus),ball (i.e. a testicle),gem,jewel (esp. spherical; sometimes used figuratively),pearl,female entertainer (e.g. a geisha),person (when commenting on their nature),character,item, funds or person used as part of a plot,egg,okonomiyaki,coin,precious,beautiful,excellent"
ところが,ところが,ところが,96,3354,3,"even so,however,still,whereupon,even though,nevertheless,on the contrary,as a matter of fact,despite"
秋山,秋山,,96,25638,0,Akiyama
１億,１[いち]億[おく],いちおく,96,8225,2,"100,000,000,one hundred million"
ロッカー,ロッカー,ロッカー,96,8306,1,"locker,rocker"
おまけに,おまけに,おまけに,96,3494,0,"to make matters worse,besides,what's more,in addition,on top of that"
荒らす,荒[あ]らす,あらす,96,6099,0,"to troll (e.g. web forums),to spam,to invade,to break into,to lay waste,to devastate,to damage"
明日香,明日香,,96,24623,,"Asuka,Ashitaka"
子供の頃,子[こ]供[ども]の頃[ころ],こどものころ,96,3134,,"(time of) one's childhood,when one was a child"
トンネル,トンネル,トンネル,96,7436,0,"tunnel,to tunnel (through a potential barrier),letting a grounder go through one's legs"
お昼,お昼[ひる],おひる,96,2434,2,"daytime,waking up,getting up,rising,lunch,noon,midday"
ちょうだい,ちょうだい,ちょうだい,95,1381,3,"receiving,getting,accepting,being given,eating,drinking,having,please (give me; do for me)"
林,林[はやし],はやし,95,6132,"0,3","wood,woods,forest,grove,copse,thicket,bunch (of something),cluster,line,collection"
スタジオ,スタジオ,スタジオ,95,8080,0,studio
と思われる,と思[おも]われる,とおもわれる,95,3196,,"be considered,be deemed,be thought to be"
所持,所[しょ]持[じ],しょじ,95,7920,1,"possession,having (on one's person),carrying (with one)"
検出,検[けん]出[しゅつ],けんしゅつ,95,10250,0,"detection,sense (e.g. sensor)"
撲殺,撲[ぼく]殺[さつ],ぼくさつ,95,29543,0,beat to death
天狗,天[てん]狗[ぐ],てんぐ,95,18425,0,"tengu,red-faced and long-nosed goblin said to reside deep in the mountains,bragging,conceit,braggart,boaster,conceited person"
にしても,にしても,にしても,95,3321,,"even,too,also,whether ... or ...,no matter (what, where, who, etc.),even if,even though,even granting (that)"
犯行現場,犯[はん]行[こう]現[げん]場[ば],はんこうげんば,95,21574,5,"scene of the crime (offense, offence)"
梓,梓[あずさ],あずさ,95,26670,"0,1,2","catalpa medium,catalpa bow,printing block,Japanese mallotus (Mallotus japonicus),yellow catalpa (Catalpa ovata),Japanese cherry birch (Betula grossa)"
大和,大和[やまと],やまと,95,18325,1,"(ancient) Japan,Yamato kingdom,state of Yamato,Yamato (former province located in present-day Nara Prefecture)"
終わり,終[お]わり,おわり,95,506,0,"end,ending,close,conclusion,end of (one's) life,death"
お化け,お化[ば]け,おばけ,95,7522,2,"ghost,apparition,goblin,monster,demon,something unusually large"
人影,人[ひと]影[かげ],ひとかげ,95,6275,"0,3","figure of a person,figures of people,shadow of a person"
だからって,だからって,だからって,94,1613,,"even so,all the same,nevertheless,yes, but ..."
刺さる,刺[さ]さる,ささる,94,4312,2,"to stick into (of something with a sharp point),to prick,to pierce,to get stuck (in),to lodge (in),to resonate emotionally,to move"
打ち合わせ,打[う]ち合[あ]わせ,うちあわせ,94,3445,0,"(preparatory) meeting,briefing session,(making) advance arrangements,overlap (of a coat, etc.),making something match exactly"
せ,せ,せ,94,991,"0,1","shallows,shoal,rapids,current,torrent,position,place,chance,opportunity"
決まり,決[き]まり,きまり,94,2323,0,"rule,regulation,settlement,conclusion,end,agreement,arrangement,habit,custom,habitual way,countenance in front of another person,face,love relationship between a customer and a prostitute"
段,段[だん],だん,94,4184,3,"step,stair,rung,(flight of) steps,shelf,layer,tier,grade,level,class,dan (degree of advanced proficiency in martial arts, go, shogi, etc.),rank,paragraph,passage,column (of print),act (in kabuki, joruri, etc.),section,scene,row of the multiplication table (e.g. five times table),stage (in a process),phase,occasion,time,moment,situation,matter,occasion,degree,extent,counter for breaks in written language or speech"
何じゃ,何[なん]じゃ,なんじゃ,94,8866,,what
像,像[ぞう],ぞう,94,4858,1,"image,figure,statue,picture,portrait,figure,form,shape,appearance,image"
念,念[ねん],ねん,94,4297,"1,0","sense,idea,thought,feeling,desire,concern,attention,care"
毒殺,毒[どく]殺[さつ],どくさつ,94,19384,0,"killing by poisoning,killing with poison,poisoning (to death)"
館長,館[かん]長[ちょう],かんちょう,94,27646,"1,0","superintendent,director,curator,chief librarian"
窓ガラス,窓[まど]ガラス,まどガラス,94,12096,3,"windowpane,window glass"
でもない,でもない,でもない,94,837,,"is not ... either,is (neither ...) nor ...,nor is it ...,is not even ...,does not ... either,(neither ...) nor ...,does not even ..."
女将,女将[おかみ],おかみ,94,11117,0,"proprietress (of a traditional Japanese inn, restaurant, or shop),landlady,hostess,mistress,female innkeeper"
からって,からって,からって,94,1780,,"just because,even if,even though"
フフフ,フフフ,フフフ,93,1187,,"ha ha ha,hee hee hee"
車内,車[しゃ]内[ない],しゃない,93,9176,1,"inside a car (train, bus, etc.)"
謎解き,謎[なぞ]解[と]き,なぞとき,93,21941,4,"solving a riddle,solving a mystery"
ありゃ,ありゃ,ありゃ,93,2219,"1,0","oh,ah,I'll be darned,if there is"
テレビ局,テレビ局[きょく],テレビきょく,93,13081,,television station
拭く,拭[ふ]く,ふく,93,3010,0,"to wipe,to dry"
バンド,バンド,バンド,93,6746,"0,1","(frequency) band,band (material),strap,(watch) bracelet,belt (clothing),band (group of musicians)"
やったあ,やったあ,やったあ,93,9261,3,"hooray,yay,whee,yowzer,whoopee,yes"
特定,特[とく]定[てい],とくてい,93,2875,0,"specific,particular,designated,special,specifying,designating,identifying,pinpointing"
沖田,沖田,,92,30144,1,"Okita,Marukosu,Okida"
ウフッ,ウフッ,ウフッ,92,6061,,"chuckle,chuckling"
かもしれません,かもしれません,かもしれません,92,1129,,"may,might,perhaps,may be,possibly"
ゾンビ,ゾンビ,ゾンビ,92,7639,1,zombie
通路,通[つう]路[ろ],つうろ,92,5013,1,"passage,pathway,roadway,avenue,aisle"
ガレージ,ガレージ,ガレージ,92,26469,"2,1",garage
必死,必[ひっ]死[し],ひっし,91,938,0,"frantic,frenetic,desperate,inevitable death,brinkmate (inevitable checkmate)"
んち,んち,んち,91,3245,2,"'s house,'s home"
超える,超[こ]える,こえる,91,1183,0,"to cross over,to cross,to pass through,to pass over (out of),to go beyond,to go past,to exceed,to surpass,to be more (than)"
ほ,ほ,ほ,91,5477,0,"step,stride,counter for steps"
その後,その後[あと],そのあと,91,1297,0,"after that,afterwards,thereafter"
めし,めし,めし,91,3641,1,"cooked rice,meal,food,one's living,livelihood"
ひで,ひで,ひで,91,38151,,Hide
新,新[しん],しん,91,9001,1,"new,neo-,newness,novelty,Gregorian calendar,Xin dynasty (of China; 9-23 CE),Hsin dynasty"
無実,無[む]実[じつ],むじつ,91,7275,1,"innocence,guiltlessness,false accusation,false charge,absence of the fact,insubstantiality,lacking substance,insincerity,dishonesty"
絞る,絞[しぼ]る,しぼる,91,3566,2,"to wring (towel, rag),to squeeze,to squeeze (fruit to extract juice),to press,to extract,to milk,to express milk,to rack (one's brains),to strain (one's voice),to extort,to exploit,to chew out,to reprimand severely,to rake over the coals,to give a sound scolding,to tell someone off,to scold,to rebuke,to drill into,to train,to narrow down (one's focus),to whittle down,to gather up (curtain, etc.),to tighten (drawstring),to stop down (lens),to turn down (e.g. radio),to bend (bow),to draw,to hold down,to constrict,to immobilize"
栄子,栄子,,91,58014,1,"Emasu,Takako,Shigeko,Sakaeko,Yonja,Yoshiko,Hideko,Haruko"
処分,処[しょ]分[ぶん],しょぶん,91,2770,1,"disposal,throwing away,selling off,dealing with (a problem),measure,punishment,penalty,putting down (e.g. diseased animal)"
引き出し,引[ひ]き出[だ]し,ひきだし,91,6694,0,"drawer,withdrawal (of money from an account),variety of knowledge and experience useful for handling things impromptu"
絶対に,絶[ぜっ]対[たい]に,ぜったいに,90,964,,"absolutely,definitely,unconditionally"
ポアロ,ポアロ,ポアロ,90,89701,,Poirot
絞める,絞[し]める,しめる,90,7810,2,"to strangle,to constrict"
トリ,トリ,トリ,90,18588,0,"bird,bird meat (esp. chicken meat),fowl,poultry"
従業員,従[じゅう]業[ぎょう]員[いん],じゅうぎょういん,90,5651,3,"employee,worker"
テニス,テニス,テニス,90,13242,1,tennis
ライト,ライト,ライト,90,4562,1,"light,light (colour, food, comedy, etc.)"
煌,煌[あきら],あきら,90,36272,,"Akira,Koo"
あいえ,あいえ,あいえ,90,8318,0,ukiyo-e print produced with various shades of indigo (and sometimes small amounts of vermilion or yellow)
溺死,溺[でき]死[し],できし,90,22687,0,death by drowning
ゴミ箱,ゴミ箱[ばこ],ゴミばこ,90,8759,"3,0","trash can,garbage can,rubbish bin,dustbin"
２本,２[に]本[ほん],にほん,90,5165,1,two (long cylindrical things)
さんと,さんと,さんと,89,2171,1,"three large cities (esp. Edo, Kyoto, and Osaka during the Edo period)"
本棚,本[ほん]棚[だな],ほんだな,89,7960,1,"bookshelves,bookshelf,bookcase"
スリッパ,スリッパ,スリッパ,89,17179,"1,2","slipper,slippers"
あのね,あのね,あのね,89,1243,3,"look here,I say,well,I know what,I'll tell you what,just a minute,hold on"
山村,山[さん]村[そん],さんそん,89,28620,0,mountain village
持ち出す,持[も]ち出[だ]す,もちだす,89,3660,"3,0","to take out,to carry out,to bring out from where it belongs,to mention something,to broach a topic,to bring up (a subject),to raise (an issue),to mention"
さらう,さらう,さらう,88,3947,0,"to sweep away,to wash away,to dredge"
縄,縄[なわ],なわ,88,7032,2,"rope,cord,policeman's rope"
ゼロ,ゼロ,ゼロ,88,1932,1,"zero,0,nought,nil,nothing,zilch"
さんだ,さんだ,さんだ,88,2858,,"sanda,sanshou,Chinese boxing,Chinese kickboxing"
にゃ,にゃ,にゃ,88,1766,,"if not ...,unless ...,have to (do),to,for,on,in,at"
なぁ,なぁ,なぁ,88,918,1,"don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?"
藤,藤[ふじ],ふじ,88,13071,0,"wisteria (esp. Japanese wisteria, Wisteria floribunda),wistaria"
大滝,大滝,,88,52602,0,"Ootaki,Oodaki,Otaki"
そうすれば,そうすれば,そうすれば,88,1791,,"if so,in that case,in that situation"
犯す,犯[おか]す,おかす,88,2373,"2,0","to commit (e.g. crime),to perpetrate,to make (e.g. mistake),to break (e.g. rule),to violate,to transgress,to contravene,to rape,to violate,to ravish,to deflower"
待機,待[たい]機[き],たいき,87,3173,"0,1","standing by,awaiting an opportunity,being on alert,quarantine"
楽しむ,楽[たの]しむ,たのしむ,87,762,3,"to enjoy,to take pleasure in,to have a good time,to have fun,to amuse oneself,to look forward to"
もめる,もめる,もめる,87,4073,0,"to disagree,to dispute,to fight (over)"
二人,二人[ふたり],ふたり,87,808,"3,0","two persons,two people,pair,couple"
恵,恵[え],え,87,15254,1,"prajñā (one of the three divisions of the noble eightfold path),wisdom,wisdom,enlightenment"
悪魔,悪[あく]魔[ま],あくま,87,2306,1,"Māra,evil spirits or forces that hinder one's path to enlightenment,Satan,the Devil,devil,demon,fiend"
先月,先[せん]月[げつ],せんげつ,87,4624,1,last month
ごちそう,ごちそう,ごちそう,87,1732,0,"treat (esp. food and drink),entertainment,treating someone (to a meal),taking someone to dinner,gorgeous dinner,feast,excellent food,special dish,delicacy"
血液,血[けつ]液[えき],けつえき,87,5315,2,blood
チーム,チーム,チーム,86,1921,1,team
痕,痕[こん],こん,86,13060,1,"scar (e.g. from operation, injection),trace,mark (e.g. skid marks)"
ロッジ,ロッジ,ロッジ,86,42493,1,lodge
輪,輪[わ],わ,86,4995,1,"ring,circle,loop,hoop,wheel,circle (e.g. of friends),planetary ring"
２日,２日,,86,2966,0,"2nd day of the month,two days"
なめる,なめる,なめる,86,1466,2,"to lick,to lap,to suck,to taste,to experience (esp. a hardship),to underestimate,to make light of,to look down on (someone),to make a fool of,to treat with contempt,to disparage,to lick (at; of flames),to burn"
ひく,ひく,ひく,86,2811,0,"to run over (with a vehicle),to knock down"
何でもない,何[なん]でもない,なんでもない,86,1824,5,"nothing of the sort,not at all,easy,trifling,harmless,of no concern,nothing"
交通事故,交[こう]通[つう]事[じ]故[こ],こうつうじこ,86,7864,5,traffic accident
逃げ出す,逃[に]げ出[だ]す,にげだす,86,1986,"3,0","to run away,to flee,to make off,to take to one's heels,to escape,to start to run away"
お父様,お父[とう]様[さま],おとうさま,85,3551,2,father
不気味,不[ぶ]気[き]味[み],ぶきみ,85,4139,"0,1,2","weird,eerie,ominous,creepy,uncanny,unearthly"
