"Reading","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions"
"くる","くる","くる","4878","49","1","to come (spatially or temporally),to approach,to arrive,to come back,to do ... and come back,to come to be,to become,to get,to grow,to continue,to come from,to be caused by,to derive from,to come to (e.g. ""when it comes to spinach ..."")"
"し","し","し","4863","61","1","and,besides,moreover,what's more,not only ... but also,because,since,the thing is,for one thing"
"には","には","には","4849","30","","as for,regarding,while it is (was) the case that ...,indeed ... (but),certainly ... (but),in order to,for,to,for,on,in,at"
"見る","見[み]る","みる","4777","68","1","to see,to look,to watch,to view,to observe,to examine,to look over,to assess,to check,to judge,to look after,to attend to,to take care of,to keep an eye on,to experience,to meet with (misfortune, success, etc.),to try ...,to have a go at ...,to give ... a try,to see (that) ...,to find (that) ..."
"な","な","な","4618","37","1","greens,vegetables,rape (Brassica napus),rapeseed"
"はい","はい","はい","4611","58","1","yes,that is correct,giddy-up,giddap,now,here,here you go,pardon?,what's that?,come again?,present,here,understood,I see,OK,okay"
"や","や","や","4497","69","1","such things as ...,and ... and,the minute (that) ...,no sooner than ...,as soon as,be,is,o,oh,huh,what,hi,yes,what?,yes?,no?,is it?,isn't it?"
"なら","なら","なら","4438","55","1","if possible,if circumstances allow,if that's the case,if so,that being the case,as for,on the topic of,if,in case,if it is the case that,if it is true that"
"ねえ","ねえ","ねえ","4430","145","1","right?,isn't it?,doesn't it?,don't you?,don't you think?,hey,say,listen,look,come on,you know,you see,I must say,I should think,will you?,please,so, ...,well, ...,you see, ...,you understand?,I'm not sure if ...,I have my doubts about whether ..."
"何か","何[なに]か","なにか","4389","102","1","something,some,any,somehow,for some reason,(so) what (are you trying to say)?,what (do you mean)?"
"分かる","分[わ]かる","わかる","4242","282","2","to understand,to comprehend,to grasp,to see,to get,to follow,to become clear,to be known,to be discovered,to be realized,to be realised,to be found out,I know!,I think so too!"
"やる","やる","やる","4233","54","0","to harm,to injure,to kill,to ease (one's mind),to hold (a performance),to perform,to show,to have (food, drink, etc.),to eat,to drink,to smoke,to run (a business),to keep,to be engaged in,to practice (law, medicine, etc.),to practise,to make (a vehicle) go faster,to give (esp. to someone of equal or lower status),to let have,to present,to bestow,to confer,to put,to move,to turn (one's head, glance, etc.),to send,to dispatch,to despatch,to do,to undertake,to perform,to play (a game),to study,to have sex,to fuck,to bang,to make active efforts to ...,to do ... for (someone of equal or lower status),to do ... to,to do ... broadly,to do ... to a great distance,to do ... completely,to live,to get by,to get along"
"だから","だから","だから","4112","52","1","like I said,I told you already,so,therefore,accordingly,consequently,on those grounds,that is why,for that reason"
"思う","思[おも]う","おもう","4108","60","2","to think,to consider,to believe,to reckon,to think (of doing),to plan (to do),to judge,to assess,to regard,to imagine,to suppose,to dream,to expect,to look forward to,to feel,to be (in a state of mind),to desire,to want,to care (deeply) for,to yearn for,to worry about,to love,to recall,to remember"
"来る","来[く]る","くる","4103","79","1","to come (spatially or temporally),to approach,to arrive,to come back,to do ... and come back,to come to be,to become,to get,to grow,to continue,to come from,to be caused by,to derive from,to come to (e.g. ""when it comes to spinach ..."")"
"もう","もう","もう","4102","41","1,0","soon,shortly,before long,presently,further,more,again,another,the other,jeez,geez,gee,boy,come on,damn,seriously,already,yet,by now,now,(not) any more,(not) any longer"
"だけ","だけ","だけ","4096","39","1","as much as,to the extent of,enough to,only,just,merely,simply,no more than,nothing but,alone"
"行く","行[い]く","いく","4040","66","0","to go,to move (towards),to head (towards),to leave (for),to move through,to travel across,to walk along (e.g. a road),to go (well, badly, etc.),to proceed,to turn out,to get along,to do (in a particular way),to go (with; a choice),to try,to pass (of time, seasons, etc.),to go by,to stream,to flow,to die,to pass away,to reach (a stage, extent, age, etc.),to get to,to go (so far as ...),to reach (of information, instructions, wind, etc.),to arrive,to continue ...,to go on ...,to (progress) steadily,to gradually ...,to progressively ...,to have an orgasm,to come,to cum,to trip,to get high,to have a drug-induced hallucination"
"中","中[うち]","うち","3910","107","0","inside,within,while (e.g. one is young),during,within (e.g. a day),in the course of,among,amongst,(out) of,between,in (secret, chaos, poverty, etc.),amidst,with (e.g. success),within oneself,one's feelings,inner thoughts,we,our company,our organization,one's home,one's family,my spouse,my husband,my wife,signed on behalf of (husband's name) by his wife,I,me,imperial palace grounds,emperor"
"部屋","部屋[へや]","へや","3899","324","2","room,chamber,apartment,flat,pad,stable"
"じゃあ","じゃあ","じゃあ","3838","136","0","then,well,so,well then"
"ちょっと","ちょっと","ちょっと","3828","76","3,0","a little,a bit,slightly,just a minute,for a moment,briefly,somewhat,rather,fairly,pretty,quite,(not) easily,(not) readily,hey!,come on,excuse me,thanks, but no,not feasible,not possible"
"ええ","ええ","ええ","3818","182","1,2,0","um,errr,well,yes,that is correct,right,huh?,grrr,gah,must I?,good"
"ちゃん","ちゃん","ちゃん","3785","108","1","suffix for familiar person"
"まで","まで","まで","3774","47","","until (a time),till,to,up to,to (a place or person),as far as,to (an extent),up to,so far as,even,only,merely"
"わ","わ","わ","3746","64","1","indicates emotion or admiration,indicates emphasis,I,me,wah!,boo!"
"うん","うん","うん","3723","72","1","yes,yeah,uh huh,hum,hmmm,well,erm,huh?,oof"
"人","人[ひと]","ひと","3579","70","0,2","person,someone,somebody,human beings,mankind,man,people,humans,human (Homo sapiens),(other) people,others,character,personality,nature,capable person,competent person,suitable person,right person,adult,grown-up,I,me,one"
"いい","いい","いい","3553","29","1","good,excellent,fine,nice,pleasant,agreeable,sufficient,enough,ready,prepared,profitable (deal, business offer, etc.),beneficial,OK,all right,fine,no problem"
"くれる","くれる","くれる","3453","65","0","to give,to let (one) have,to give,to do for one,to take the trouble to do,to do to someone's disadvantage"
"事件","事[じ]件[けん]","じけん","3390","899","1","event,affair,incident,case,plot,trouble,scandal"
"あと","あと","あと","3376","137","0","behind,rear,after,later,remainder,the rest,more (e.g. five more minutes),left,also,in addition,descendant,successor,heir,after one's death,past,previous"
"ぞ","ぞ","ぞ","3279","62","","adds force or indicates command"
"いや","いや","いや","3268","71","2","disliking,not wanting,unwilling (to do),reluctant,unpleasant,disagreeable,nasty,horrible,disgusting,undesirable,unwelcome,no!,quit it!,stop!"
"僕","僕[ぼく]","ぼく","3220","183","0,3","I,me,you,manservant"
"そんな","そんな","そんな","3210","53","0","no way!,never!,such,that sort of,that kind of,like that"
"どう","どう","どう","3114","57","2","how,in what way,how about"
"前","前[さき]","さき","3038","112","2","the other party,point,tip,end,nozzle,head (of a line),front,first,before,ahead (of),(the way) ahead,beyond,future,previous,prior,former,recent,last,destination,address,place where you do something,rest (e.g. of a story),continuation,remaining part"
"という","という","という","3021","77","","all ...,every single ...,as many as,as much as,called,named,that says,that"
"蘭","蘭[らん]","らん","2970","19870","1","Netherlands,Holland,orchid"
"わけ","わけ","わけ","2960","131","0","reason,grounds,pretext,excuse,motive"
"出る","出[で]る","でる","2958","98","1","to leave,to exit,to go out,to come out,to get out,to leave (on a journey),to depart,to start out,to set out,to move forward,to come to,to get to,to lead to,to reach,to appear,to come out,to emerge,to surface,to come forth,to turn up,to be found,to be detected,to be discovered,to be exposed,to show,to be exhibited,to be on display,to appear (in print),to be published,to be announced,to be issued,to be listed,to come out,to attend,to participate,to take part,to enter (an event),to play in,to perform,to be stated,to be expressed,to come up,to be brought up,to be raised,to sell,to exceed,to go over,to stick out,to protrude,to break out,to occur,to start,to originate,to be produced,to come from,to be derived from,to be given,to get,to receive,to be offered,to be provided,to be presented,to be submitted,to be handed in,to be turned in,to be paid,to answer (phone, door, etc.),to get,to assume (an attitude),to act,to behave,to pick up (speed, etc.),to gain,to flow (e.g. tears),to run,to bleed,to graduate,to ejaculate,to cum"
"あれ","あれ","あれ","2954","103","1","period,menses,down there (i.e. one's genitals),that place (over there),then,that time,that person,that,that thing"
"ですか","ですか","ですか","2869","91","","indicates question"
"待つ","待[ま]つ","まつ","2864","97","1","to wait,to await,to look forward to,to anticipate,to depend on,to need"
"へ","へ","へ","2856","78","1","to,towards,for"
"入る","入[い]る","いる","2845","129","0","to enter,to go in,to get in,to come in,to set (of the sun or moon),to sink,to go down,to attain (nirvana, enlightenment, etc.),to achieve,to reach (e.g. a climax),to do fully,to do intently,to do sincerely,to do deeply,to feel keenly,to (reach a state) completely"
"聞く","聞[き]く","きく","2833","96","0","to hear,to listen (e.g. to music),to ask,to enquire,to query,to hear about,to hear of,to learn of,to follow (advice, order, etc.),to obey,to listen to,to comply with,to hear (e.g. a plea),to grant (a request),to accept (e.g. an argument),to give consideration to,to smell (esp. incense),to sample (a fragrance),to taste (alcohol),to try"
"なんて","なんて","なんて","2803","80","","things like,something like,someone like,such a thing as,(the fact) that,to think that"
"おい","おい","おい","2773","167","1","hey!,say!,I say!,come on!,look!,oi!,I,me"
"毛利","毛利","","2708","32273","0","Mouri,Moori"
"今","今[いま]","いま","2699","56","1","now,the present time,just now,soon,immediately,another,more"
"でしょ","でしょ","でしょ","2648","164","","right?,don't you agree?,it seems,I think,I guess,I wonder"
"とか","とか","とか","2590","81","","I hear that ...,people say that...,rumour has it that ...,or something,something like,a (certain),and the like,such as,among other things,and so on,or something,something like,or whatever"
"知る","知[し]る","しる","2576","95","0","to know,to be aware (of),to be conscious (of),to learn (of),to find out,to discover,to sense,to feel,to notice,to realize,to understand,to comprehend,to grasp,to appreciate,to remember,to be familiar with,to be acquainted with,to experience,to go through,to know (e.g. hardship),to get acquainted with (a person),to get to know,to have to do with,to be concerned with,to be one's concern,to be one's responsibility"
"まだ","まだ","まだ","2569","83","1","still,as yet,only,(not) yet,more,(more) still,at least,comparatively,relatively,unfinished,incomplete,not yet done"
"車","車[くるま]","くるま","2558","880","0","car,automobile,vehicle,wheel,castor,caster"
"のに","のに","のに","2554","92","","in order to,if only,I wish,whereas,while,although,despite,even though,and yet"
"よね","よね","よね","2507","140","1","isn't that right?"
"どこ","どこ","どこ","2496","106","1,0","where,what place,how much (long, far),what extent"
"まあ","まあ","まあ","2487","187","1","just (e.g. ""just wait here""),come now,now, now,tolerably,passably,moderately,reasonably,fairly,rather,somewhat,well...,I think...,it would seem...,you might say...,Hmmm, I guess so...,oh!,oh dear!,oh, my!,wow!,goodness gracious!,good heavens!"
"まさか","まさか","まさか","2458","251","1","by no means,never!,well, I never!,you don't say!,certainly (not),something unexpected,emergency,currently,for the time being,presently,for now,indeed,really,truly,unexpectedly"
"なんで","なんで","なんで","2444","192","1","why?,what for?,how?,by what means?"
"できる","できる","できる","2411","87","2","to be able to do,to be possible,to be permitted (to do),to be good at,to do well,to be proficient (in),to be capable,to come into existence,to form,to appear,to come up (of a matter),to be born,to make (a friend),to get (a girlfriend, free time, etc.),to be made,to be built,to be constructed,to be formed,to be established,to be set up,to be finished,to be completed,to be done,to be ready,to grow (of a crop),to be produced,to be mature and well-balanced,to be of fine character,to be by nature,to be born ...,to become (sexually) involved (with),to become intimate (with),to take up (with someone),to get pregnant"
"男","男[おとこ]","おとこ","2407","176","3","man,male,fellow,guy,chap,bloke,male lover,boyfriend,man,manliness,manly honor,manly honour,manly reputation"
"先生","先[せん]生[せい]","せんせい","2324","327","3","teacher,instructor,master,sensei,title or form of address for a teacher, master, doctor, lawyer, etc.,intimate or teasing form of address,one's elder"
"やつ","やつ","やつ","2322","308","0","fellow,guy,chap,thing,object,he,she,him,her"
"そして","そして","そして","2284","156","2","and,and then,thus,and now,and finally"
"だって","だって","だって","2263","111","1","after all,because,but,even,too,as well,also,they say,I hear,you mean"
"ぜ","ぜ","ぜ","2257","284","","I can tell you,heh"
"前に","前[まえ]に","まえに","2233","163","1,0","ahead,before,ago"
"こんな","こんな","こんな","2218","86","0","this sort of,this kind of,like this,such"
"くださる","くださる","くださる","2196","142","3","to kindly do for one,to oblige,to favour,to favor,to give,to confer,to bestow"
"しかし","しかし","しかし","2183","250","2","however,but"
"では","では","では","2156","74","1","then,well,so,well then,bye then,at,in,by,with,using,if not ...,unless ..."
"彼","彼[かれ]","かれ","2155","331","1","he,him,boyfriend"
"もらう","もらう","もらう","2147","113","0","to get someone to do something,to receive,to take,to accept,to have in one's pocket (a fight, match),to contract (a disease),to catch,to be affected"
"彼女","彼[かの]女[じょ]","かのじょ","2134","301","1","she,her,girlfriend"
"持つ","持[も]つ","もつ","2133","122","1","to hold (in one's hand),to take,to carry,to possess,to have,to own,to maintain,to keep,to last,to be durable,to keep,to survive,to take charge of,to be in charge of,to hold (meeting, etc.),to have (opportunity, etc.),to have ""it"",to have that special something,to be blessed with good luck"
"警察","警[けい]察[さつ]","けいさつ","2102","1094","0","police,police officer,police station,self-appointed enforcer (of a rule, standard, etc.),busybody,vigilante,gatekeeper"
"お前","お前[まえ]","おまえ","2059","94","0","you,before (a god, nobleman, etc.),in front of"
"た","た","た","1996","144","","did,(have) done,(please) do"
"ように","ように","ように","1986","93","","I hope (that),I pray (that),may,be sure to,so that,in order that,so as to,in order to,like,as"
"あんた","あんた","あんた","1986","216","2,1","you"
"自分","自[じ]分[ぶん]","じぶん","1966","90","0","myself,yourself,oneself,himself,herself,I,me,you"
"どうして","どうして","どうして","1964","179","1","no way,cannot possibly,why,for what reason,for what purpose,what for,how,in what way,by what means"
"みる","みる","みる","1950","118","1","to see,to look,to watch,to view,to observe,to examine,to look over,to assess,to check,to judge,to look after,to attend to,to take care of,to keep an eye on,to experience,to meet with (misfortune, success, etc.),to try ...,to have a go at ...,to give ... a try,to see (that) ...,to find (that) ..."
"みたい","みたい","みたい","1939","133","","-like,sort of,similar to,resembling"
"２人","２[ふた]人[り]","ふたり","1937","420","3,0","two persons,two people,pair,couple"
"なの","なの","なの","1926","85","","that's the way it is,yes,is that so?,is it?"
"誰か","誰[だれ]か","だれか","1922","244","1","someone,somebody"
"誰","誰[だれ]","だれ","1916","123","1","who"
"電話","電[でん]話[わ]","でんわ","1916","649","0","telephone call,phone call,telephone (device),phone"
"ホント","ホント","ホント","1911","714","0","truth,reality,actuality,fact,proper,right,correct,official,genuine,authentic,real,natural,veritable"
"おじ","おじ","おじ","1908","1231","1","grandfather,old man,kyogen mask used for the role of an old man"
"なんだ","なんだ","なんだ","1902","73","1","what!,oh,what the heck,what the,damn"
"みんな","みんな","みんな","1872","115","0,2","everyone,everybody,all,everything,all"
"話","話[はなし]","はなし","1865","99","3","talk,speech,chat,conversation,topic,subject,discussions,negotiation,argument,rumor,talk,hearsay,tale,story,fable,circumstances,particulars"
"さ","さ","さ","1842","100","1","-ness,indicates assertion,come,come now"
"だろう","だろう","だろう","1842","82","","seems,I think,I guess,I wonder,I hope,right?,don't you agree?,I thought you'd say that!"
"刑事","刑[けい]事[じ]","けいじ","1837","3778","1","criminal matter,(police) detective"
"遺体","遺[い]体[たい]","いたい","1833","4146","0","(dead) body,corpse,remains"
"使う","使[つか]う","つかう","1812","171","0","to use (a tool, method, etc.),to make use of,to put to use,to use (a person, animal, puppet, etc.),to employ,to handle,to manage,to manipulate,to use (time, money, etc.),to spend,to consume,to use (language),to speak"
"ネクスト","ネクスト","ネクスト","1784","29424","1","next"
"とは","とは","とは","1773","89","","indicates word or phrase being defined,used for quoting (thoughts, speech, etc.),with,(not) as much as,(not) so much as,the fact that,to think that,such a thing as"
"ために","ために","ために","1762","143","2","for,for the sake of,to one's advantage,in favor of,in favour of,on behalf of,because of,as a result of"
"１人","１[ひと]人[り]","ひとり","1761","638","2","one person,being alone,being by oneself,being single,being unmarried,by oneself,alone,just,only,simply"
"はっ","はっ","はっ","1759","290","1","oh,yes,huh?,hm?,what's that?"
"そうだ","そうだ","そうだ","1758","109","","people say that,it is said that,I hear that,that is so,that is right,it looks to me,that's my impression"
"時間","時[じ]間[かん]","じかん","1744","160","0","time,hour,period,class,lesson"
"今日","今日[きょう]","きょう","1733","117","1","these days,recently,nowadays,today,this day"
"お父さん","お父[とう]さん","おとうさん","1732","607","2","you (of an elderly person older than the speaker),he,him,father,dad,papa,pa,pop,daddy,dada,husband"
"さっき","さっき","さっき","1730","248","2","a short while ago,a moment ago,just now,some time ago"
"でしょう","でしょう","でしょう","1719","161","","right?,don't you agree?,it seems,I think,I guess,I wonder"
"ほら","ほら","ほら","1716","196","1","look!,see!,here!,there!,hey!"
"や","や","や","1715","816","1","melting"
"警部","警[けい]部[ぶ]","けいぶ","1712","13070","1","police inspector"
"物","物[もの]","もの","1705","640","0,2","thing,object,article,stuff,substance,one's things,possessions,property,belongings,things,something,anything,everything,nothing,quality,reason,the way of things,used to emphasize emotion, judgment, etc.,used to indicate a common occurrence in the past (after a verb in past tense),used to indicate a general tendency,used to indicate something that should happen,item classified as ...,item related to ...,work in the genre of ...,cause of ...,cause for ...,somehow,somewhat,for some reason,really,truly"
"被害者","被[ひ]害[がい]者[しゃ]","ひがいしゃ","1696","2296","2","victim,injured party,sufferer"
"そ","そ","そ","1687","570","0,3,4","altar of sacrifice"
"そこ","そこ","そこ","1648","120","0","there (place relatively near listener),you,then (of some incident just spoken of),that (of point just raised),there (place just mentioned),that place"
"大丈夫","大[だい]丈[じょう]夫[ぶ]","だいじょうぶ","1637","105","3","safe,secure,sound,problem-free,without fear,all right,alright,OK,okay,certainly,surely,undoubtedly,no thanks,I'm good,that's alright,great man,fine figure of a man"
"子供","子[こ]供[ども]","こども","1636","543","0","child,children"
"家","家[いえ]","いえ","1611","253","2","house,residence,dwelling,family,household,lineage,family name"
"いう","いう","いう","1607","127","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise"
"たち","たち","たち","1606","186","1","pluralizing suffix (esp. for people and animals; formerly honorific)"
"上","上[うえ]","うえ","1604","195","0","above,over,up,top,summit,upper part,head (e.g. of a staircase),surface,on (top of),the above (in a piece of writing),earlier part,superior,better,higher (position, rank, etc.),upper (class),elder,older,senior,with respect to ...,in terms of,as far as ... is concerned,when (e.g. drunk),besides ...,in addition to ...,on top of ...,as well as ...,after ...,upon ...,on ...,with (e.g. full awareness),as a result of ...,since ...,now that ...,because ...,honorable,venerable,dear,emperor,sovereign,shogun,daimyo"
"殺害","殺[さつ]害[がい]","さつがい","1603","4368","0","killing,murder"
"探偵","探[たん]偵[てい]","たんてい","1596","5401","0","detective,investigator,sleuth,detective work,secret investigation"
"アーッ","アーッ","アーッ","1586","579","","aah"
"やっぱり","やっぱり","やっぱり","1577","168","3","as expected,sure enough,just as one thought,after all (is said and done),in the end,as one would expect,in any case,too,also,as well,likewise,(not) either,still,as before,all the same,even so,still,nonetheless"
"はあ","はあ","はあ","1577","429","1","yes,indeed,well,ha!,what?,huh?,sigh"
"早い","早[はや]い","はやい","1531","132","2","fast,quick,rapid,swift,speedy,brisk,prompt,early,soon,earlier than usual,premature,too soon,too early,easy,simple,quick,fast,as soon as ...,the moment ...,the instant ..."
"ので","ので","ので","1527","139","","that being the case,because of ...,the reason is ...,given that ..."
"なるほど","なるほど","なるほど","1525","403","0","I see,that's right,indeed"
"ウッ","ウッ","ウッ","1520","302","","oof,ough,ulp"
"様","様[さま]","さま","1512","212","2","Mr,Mrs,Miss,Ms,makes a word more polite (usu. in fixed expressions),state,situation,appearance,manner"
"気","気[き]","き","1510","88","0","spirit,mind,heart,nature,disposition,intention,mind,will,motivation,mood,feelings,consciousness,care,attention,consideration,worry,interest,(the) air,atmosphere,ambience,atmosphere (of),air (of),mood,fragrance,aroma,flavour,taste,qi (in traditional Chinese philosophy and medicine),chi,ki"
"３人","３[さん]人[にん]","さんにん","1498","933","3","three people"
"帰る","帰[かえ]る","かえる","1493","147","1","to return,to come home,to go home,to go back,to leave (of a guest, customer, etc.),to get home,to get to home plate"
"違う","違[ちが]う","ちがう","1486","134","2","to differ (from),to be different,to be distinct,to be unlike,to vary,to disagree (with),isn't it?,wasn't it?,to become abnormal,to go wrong,to be wrong,to be incorrect,to be mistaken"
"入れる","入[い]れる","いれる","1465","215","0","to put in,to let in,to take in,to bring in,to insert,to install (e.g. software),to set (a jewel, etc.),to ink in (e.g. tattoo),to admit,to accept,to employ,to hire,to accept,to comply,to grant,to adopt (a policy, etc.),to take (advice, etc.),to listen to,to pay attention to,to include,to pay (one's rent, etc.),to cast (a vote),to make (tea, coffee, etc.),to turn on (a switch, etc.),to send (a fax),to call"
"なあ","なあ","なあ","1461","293","1","don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?"
"確かに","確[たし]かに","たしかに","1447","277","","surely,certainly"
"ような","ような","ような","1443","104","","like,similar to,feels like,feels similar to,feels as if,(I) think (that),(I) have a feeling (that)"
